Location,Latitude,Longitude
Indiranagar,12.97197492,77.64701553
Koramangala,12.93718652,77.62468527
Domlur,12.95465162,77.6411233
Mahadevpura (Near Phoenix Market City),12.99410021,77.70022871
Marathahalli,12.95009756,77.70084242
Sarjapur Road,12.91961522,77.66763841
K.R. PURAM (Opp. Tin Factory),12.99422219,77.70021307
Nallurhalli (Siddhapura),12.95937942,77.73199033
SANJAY NAGAR,13.0426835,77.57985289
KALYAN NAGAR,13.00833482,77.64074724
YELAHANKA,12.97451249,77.64764289
JP NAGAR,12.91425195,77.60974886
BANASHANKARI,12.91429378,77.60962011
HARALUR,12.89493016,77.66133802
BTM Layout,12.91421012,77.60970594
